NumeroZona,g15,g20,indirect,indirect2,direct
"1",563.345008756567381,0.000000000000000,"1","1","0"
"2",0.000000000000000,0.000000000000000,"1","1","0"
"3",755.015706806282765,885.947643979057716,"1","1","0"
"4",318.852349886832656,619.358274530688277,"1","1","0"
"5",383.148765843895944,320.733822548365595,"1","1","1"
"6",280.284577354395253,0.000000000000000,"1","1","0"
"7",68.887451487710223,96.080206985769735,"1","1","1"
"8",118.677015593315161,12.978113418642055,"1","0","0"
"9",35.067036523347205,0.000000000000000,"1","1","0"
"10",153.540733567364725,0.000000000000000,"1","0","0"
"11",159.458375125376136,21.604814443329989,"1","0","0"
"12",0.000000000000000,0.000000000000000,"1","1","0"
"13",0.000000000000000,0.000000000000000,"1","1","0"
"14",0.000000000000000,0.000000000000000,"1","0","0"
"15",0.000000000000000,0.000000000000000,"1","0","0"
"16",0.000000000000000,0.000000000000000,"1","0","0"
"17",0.000000000000000,0.000000000000000,"1","1","0"
"18",6.932019704433498,0.000000000000000,"0","0","0"
"19",89.019440290536210,427.985473189489426,"0","0","0"
"20",0.000000000000000,0.000000000000000,"0","0","0"
"21",239.412075338848780,847.843689491286682,"0","0","0"
"22",0.000000000000000,0.000000000000000,"0","0","0"
"23",0.000000000000000,0.000000000000000,"0","0","0"
"24",0.000000000000000,0.000000000000000,"0","0","0"
"25",217.129521586931162,0.000000000000000,"1","1","0"
"26",0.000000000000000,0.000000000000000,"1","1","0"
"27",771.780383795309149,489.498933901918974,"1","0","0"
"28",562.842410570415723,1094.489203996132801,"1","0","0"
"29",906.233630172865332,4034.328618823118177,"1","1","0"
"30",123.698569532517325,497.758442707565223,"1","1","0"
"31",515.885242241571746,122.906898861352985,"1","1","0"
"32",436.379521230124112,1795.614188362746972,"1","1","1"
"33",300.121614151464883,445.163073521282456,"1","1","0"
"34",1097.044996642041497,2840.926796507723338,"1","1","0"
"35",84.474980914706080,0.000000000000000,"1","1","0"
"36",84.078762306610415,12.876230661040788,"1","0","0"
"37",1.616900743538298,0.000000000000000,"1","0","0"
"38",59.970530451866409,0.000000000000000,"0","0","0"
"39",84.369360960736714,69.647190591749109,"0","0","0"
"40",0.000000000000000,0.000000000000000,"0","0","0"
"41",0.444173005385598,2.420742879351507,"0","0","0"
"42",0.000000000000000,0.000000000000000,"0","0","0"
"43",43.165679384819157,144.159093417712199,"1","0","0"
"44",0.000000000000000,0.000000000000000,"1","1","0"
"45",48.956530858371345,47.994336951392157,"1","1","0"
"46",10.300497134352934,51.486653367531112,"1","1","0"
"47",8.111429741909054,40.613478082752970,"1","0","0"
"48",65.630515787409294,0.000000000000000,"1","0","0"
"49",25.979250476392124,129.822146940503927,"0","0","0"
"50",33.744204455501524,0.000000000000000,"0","0","0"
"51",0.000000000000000,0.000000000000000,"0","0","0"
"52",0.000000000000000,0.000000000000000,"0","0","0"
"53",51.907482491706602,0.000000000000000,"0","0","0"
"54",0.000000000000000,0.000000000000000,"0","0","0"
"55",177.242732298912074,260.914927768860366,"0","0","0"
"56",420.666344760984998,38.686624818928053,"0","0","0"
"57",999.075612796011569,0.000000000000000,"0","0","0"
"58",0.000000000000000,0.000000000000000,"0","0","0"
"59",10.954334573060850,16.908860856562249,"0","0","0"
"60",25.632655599079772,23.394267238699246,"0","0","0"
"61",21.839146728163737,0.000000000000000,"0","0","0"
"62",483.718716954529498,617.049700387733537,"0","0","0"
"63",442.320752886387993,492.927136897254343,"0","0","0"
"64",111.728430308913389,70.656084051847202,"0","0","0"
"65",554.894104178591874,412.497614958977294,"0","0","0"
"66",19.314945285564384,0.000000000000000,"0","0","0"
"67",1685.481863442389795,647.652916073968640,"0","0","0"
"68",323.851771971962194,16.160972501347974,"1","0","0"
"69",7.006582617427202,0.000000000000000,"1","0","0"
"70",167.537241245888964,0.000000000000000,"1","0","0"
"71",87.082177161152615,168.550693703308440,"1","0","0"
"72",28.292489671175510,81.068538117607105,"1","1","0"
"73",185.136025127919368,444.515932924666970,"1","0","0"
"74",935.268948655256736,268.622656886715561,"1","0","0"
"75",187.806778340475262,0.000000000000000,"1","0","0"
"76",259.145982330668915,22.019352124526716,"1","1","0"
"77",973.764760720944651,467.029210689869501,"1","1","0"
"78",201.799820017998201,307.489251074892479,"1","1","0"
"79",2798.779468316335169,8636.147801371007517,"1","1","0"
"80",151.182056981208319,0.000000000000000,"1","1","1"
"81",1003.382897214466652,197.607298227387844,"1","1","0"
"82",294.441702043637065,945.438838977194109,"1","1","1"
"83",79.380785189913823,135.939993616342150,"1","1","0"
"84",202.100381887615981,0.000000000000000,"0","0","0"
"85",0.000000000000000,0.000000000000000,"0","0","0"
"86",517.597258617214266,0.000000000000000,"0","0","0"
"87",427.809715435469968,0.000000000000000,"0","0","0"
"88",162.962303354111015,0.000000000000000,"0","0","0"
"89",0.000000000000000,0.000000000000000,"0","0","0"
"90",0.000000000000000,0.000000000000000,"0","0","0"
"91",295.632448537378139,75.934452871072580,"0","0","0"
"92",310.430589628627047,10.794349039844345,"0","0","0"
"93",258.147056025872757,837.258632169694692,"0","0","0"
"94",655.125861341583459,0.000000000000000,"0","0","0"
"95",377.142546008929628,394.527932048350181,"1","0","0"
"96",119.386183197061257,39.416202551645142,"1","1","0"
"97",284.776109909680713,250.540643684009666,"1","0","0"
"98",23.017126199441272,49.034373861289929,"0","0","0"
