NumeroZona,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,g10,g15,g20,indirect,indirect2,direct,d1cptm,d2cptm,d3cptm,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum
"1",Sé,"36",São Paulo,"80",Sé,57.10,706.234676007005191,563.345008756567381,0.000000000000000,"1","1","0","0","0","0",7589632.000000000000000,7629958.000000000000000,7662125.000000000000000,7662125.000000000000000
"2",Parque Dom Pedro,"36",São Paulo,"80",Sé,113.64,0.000000000000000,0.000000000000000,0.000000000000000,"1","1","0","0","0","0",8009585.000000000000000,8009585.000000000000000,8009585.000000000000000,8009585.000000000000000
"3",Praça João Mendes,"36",São Paulo,"80",Sé,47.75,722.575916230366488,755.015706806282765,885.947643979057716,"1","1","0","0","0","0",5197696.000000000000000,5232199.000000000000000,5268251.000000000000000,5310555.000000000000000
"4",Ladeira da Memória,"36",São Paulo,"67",República,75.11,245.200372786579692,318.852349886832656,619.358274530688277,"1","1","0","0","0","0",9074551.000000000000000,9092968.000000000000000,9116917.000000000000000,9163437.000000000000000
"5",República,"36",São Paulo,"67",República,74.95,398.879252835223440,383.148765843895944,320.733822548365595,"1","1","1","0","0","0",9333542.000000000000000,9363438.000000000000000,9392155.000000000000000,9416194.000000000000000
"6",Santa Ifigênia,"36",São Paulo,"67",República,82.93,351.935367177137323,280.284577354395253,0.000000000000000,"1","1","0","0","0","0",9806898.000000000000000,9836084.000000000000000,9859328.000000000000000,9859328.000000000000000
"7",Luz,"36",São Paulo,"9",Bom Retiro,154.60,65.769728331177234,68.887451487710223,96.080206985769735,"1","1","1","0","0","0",10408075.000000000000000,10418243.000000000000000,10428893.000000000000000,10443747.000000000000000
"8",Bom Retiro,"36",São Paulo,"9",Bom Retiro,143.01,141.850220264317187,118.677015593315161,12.978113418642055,"1","0","0","0","0","0",6273404.000000000000000,6293690.000000000000000,6310662.000000000000000,6312518.000000000000000
"9",Ponte Pequena,"36",São Paulo,"9",Bom Retiro,129.78,43.897364771151182,35.067036523347205,0.000000000000000,"1","1","0","0","0","0",6351262.000000000000000,6356959.000000000000000,6361510.000000000000000,6361510.000000000000000
"10",Canindé,"36",São Paulo,"57",Pari,82.61,191.090666989468588,153.540733567364725,0.000000000000000,"1","0","0","0","0","0",3795808.000000000000000,3811594.000000000000000,3824278.000000000000000,3824278.000000000000000
"11",Bom Jardim,"36",São Paulo,"57",Pari,49.85,199.518555667001010,159.458375125376136,21.604814443329989,"1","0","0","0","0","0",2220481.000000000000000,2230427.000000000000000,2238376.000000000000000,2239453.000000000000000
