ZONA,NomeZona,NumeroMuni,NomeMunici,NumDistrit,NomeDistri,Area_ha_2,indirect2,indirect,direct,d1cptm,d2cptm,d3cptm,Vol00_Vol00_sum,Vol05_Vol05_sum,Vol10_Vol10_sum,Vol15_Vol15_sum,Vol20_Vol20_sum,Vol95_Vol95_sum
1,Sé,36,São Paulo,80,Sé,57.1,1,1,0,0,0,0,7549382,7589632,7629958,7662125,7662125,7490683
2,Parque Dom Pedro,36,São Paulo,80,Sé,113.64,1,1,0,0,0,0,8009585,8009585,8009585,8009585,8009585,8009585
3,Praça João Mendes,36,São Paulo,80,Sé,47.75,1,1,0,0,0,0,5163230,5197696,5232199,5268251,5310555,5163230
4,Ladeira da Memória,36,São Paulo,67,República,75.11,1,1,0,0,0,0,9056131,9074551,9092968,9116917,9163437,8983121
5,República,36,São Paulo,67,República,74.95,1,1,1,0,0,0,9303738,9333542,9363438,9392155,9416194,9097763
6,Santa Ifigênia,36,São Paulo,67,República,82.93,1,1,0,0,0,0,9777747,9806898,9836084,9859328,9859328,9751558
7,Luz,36,São Paulo,9,Bom Retiro,154.6,1,1,1,0,0,0,10397938,10408075,10418243,10428893,10443747,10397938
8,Bom Retiro,36,São Paulo,9,Bom Retiro,143.01,1,0,0,0,0,0,6253110,6273404,6293690,6310662,6312518,6253110
9,Ponte Pequena,36,São Paulo,9,Bom Retiro,129.78,1,1,0,0,0,0,6345578,6351262,6356959,6361510,6361510,6345578
10,Canindé,36,São Paulo,57,Pari,82.61,1,0,0,0,0,0,3779989,3795808,3811594,3824278,3824278,3779989
11,Bom Jardim,36,São Paulo,57,Pari,49.85,1,0,0,0,0,0,2210466,2220481,2230427,2238376,2239453,2210466
12,Pari,36,São Paulo,57,Pari,140.16,1,1,0,0,0,0,7953537,7953537,7953537,7953537,7953537,7953537
13,João Teodoro,36,São Paulo,10,Brás,39.32,1,1,0,0,0,0,2145294,2145294,2145294,2145294,2145294,2145294
14,Oriente,36,São Paulo,10,Brás,69.88,1,0,0,0,0,0,5499943,5499943,5499943,5499943,5499943,5499943
15,Bresser,36,São Paulo,10,Brás,76.98,1,0,0,0,0,0,4925415,4925415,4925415,4925415,4925415,4925415
16,Brás,36,São Paulo,10,Brás,109.08,1,0,0,0,0,0,7213217,7213217,7213217,7213217,7213217,7213217
17,Gasômetro,36,São Paulo,10,Brás,69.35,1,1,0,0,0,0,4053037,4053037,4053037,4053037,4053037,4053037
18,Independência,36,São Paulo,14,Cambuci,253.75,0,0,0,0,0,0,15784740,15786955,15789148,15790907,15790907,15778550
19,Cambuci,36,São Paulo,14,Cambuci,140.43,0,0,0,0,0,0,9760038,9760617,9761196,9773697,9833799,9760038
20,Glicério,36,São Paulo,49,Liberdade,108.02,0,0,0,0,0,0,7755300,7755300,7755300,7755300,7755300,7755300
21,Aclimação,36,São Paulo,49,Liberdade,113.62,0,0,0,0,0,0,9059903,9070401,9080899,9108101,9204433,9058866
22,Pires da Mota,36,São Paulo,49,Liberdade,50.03,0,0,0,0,0,0,5714316,5714316,5714316,5714316,5714316,5714316
23,Centro Cultural,36,São Paulo,49,Liberdade,33.24,0,0,0,0,0,0,3648727,3648727,3648727,3648727,3648727,3648727
24,Liberdade,36,São Paulo,49,Liberdade,59.49,0,0,0,0,0,0,6601696,6601696,6601696,6601696,6601696,6601696
25,Treze de Maio,36,São Paulo,7,Bela Vista,42.85,1,1,0,0,0,0,4064397,4076043,4087687,4096991,4096991,4064397
26,Bexiga,36,São Paulo,7,Bela Vista,51.76,1,1,0,0,0,0,4352214,4352214,4352214,4352214,4352214,4352214
27,Bela Vista,36,São Paulo,7,Bela Vista,93.8,1,0,0,0,0,0,11990053,12069142,12148197,12220590,12266505,11871403
28,São Carlos do Pinhal,36,São Paulo,7,Bela Vista,31.03,1,0,0,0,0,0,5340158,5353494,5366831,5384296,5418258,5170021
29,Masp,36,São Paulo,7,Bela Vista,57.27,1,1,0,0,0,0,8246630,8253676,8260723,8312623,8543669,8214128
30,Higienópolis,36,São Paulo,26,Consolação,67.81,1,1,0,0,0,0,8601930,8603917,8605933,8614321,8648074,8582820
31,Vila Buarque,36,São Paulo,26,Consolação,89.58,1,1,0,0,0,0,9849620,9904633,9959697,10005910,10016920,9848492
32,Consolação,36,São Paulo,26,Consolação,57.23,1,1,1,0,0,0,7012092,7017617,7023170,7048144,7150907,6977839
33,Pacaembu,36,São Paulo,26,Consolação,90.45,1,1,0,0,0,0,4386868,4410685,4434500,4461646,4501911,4349962
34,FAAP,36,São Paulo,26,Consolação,74.45,1,1,0,0,0,0,7435097,7484227,7533509,7615184,7826691,7353636
35,Santa Cecília,36,São Paulo,70,Santa Cecília,144.09,1,1,0,0,0,0,16437149,16452325,16467445,16479617,16479617,16437149
36,Marechal Deodoro,36,São Paulo,70,Santa Cecília,142.2,1,0,0,0,0,0,16029465,16043933,16058444,16070400,16072231,15902913
37,Rudge,36,São Paulo,70,Santa Cecília,84.73,1,0,0,0,0,0,4364147,4364301,4364458,4364595,4364595,4364147
38,Catumbi,36,São Paulo,8,Belém,81.44,0,0,0,0,0,0,3177847,3183945,3190067,3194951,3194951,3177847
39,Belém,36,São Paulo,8,Belém,160.71,0,0,0,0,0,0,6799610,6813689,6829139,6842698,6853891,6799610
40,Quarta Parada,36,São Paulo,8,Belém,127.4,0,0,0,0,0,0,5676821,5676821,5676821,5676821,5676821,5676821
41,Belenzinho,36,São Paulo,8,Belém,180.11,0,0,0,0,0,0,12205381,12205381,12205381,12205461,12205897,12205381
42,Celso Garcia,36,São Paulo,8,Belém,63.89,0,0,0,0,0,0,3701612,3701612,3701612,3701612,3701612,3701612
43,Mooca,36,São Paulo,54,Mooca,271.79,1,0,0,0,0,0,17616831,17621635,17626445,17638177,17677358,17609327
44,Alto da Mooca,36,São Paulo,54,Mooca,141.65,1,1,0,0,0,0,10188442,10188442,10188442,10188442,10188442,10188442
45,Parque da Mooca,36,São Paulo,54,Mooca,381.42,1,1,0,0,0,0,28306068,28324876,28343732,28362405,28380711,28305597
46,Água Rasa,36,São Paulo,1,Água Rasa,315.81,1,1,0,0,0,0,17989128,17989128,17989128,17992381,18008641,17989128
47,Vila Bertioga,36,São Paulo,1,Água Rasa,195.28,1,0,0,0,0,0,12722905,12722905,12722905,12724489,12732420,12722905
48,Regente Feijó,36,São Paulo,1,Água Rasa,203.96,1,0,0,0,0,0,12389277,12406042,12422806,12436192,12436192,12389277
49,Ana Rosa,36,São Paulo,92,Vila Mariana,94.46,0,0,0,0,0,0,7490959,7490959,7490959,7493413,7505676,7490959
50,Jardim da Glória,36,São Paulo,92,Vila Mariana,88.43,0,0,0,0,0,0,5209549,5213277,5217013,5219997,5219997,5209549
51,Chácara Klabin,36,São Paulo,92,Vila Mariana,97.57,0,0,0,0,0,0,10244832,10244832,10244832,10244832,10244832,10244832
52,Vila Mariana,36,São Paulo,92,Vila Mariana,59.61,0,0,0,0,0,0,5533959,5533959,5533959,5533959,5533959,5533959
53,Santa Cruz,36,São Paulo,92,Vila Mariana,108.52,0,0,0,0,0,0,9261406,9268458,9275510,9281143,9281143,9253408
54,Vila Clementino,36,São Paulo,92,Vila Mariana,93.7,0,0,0,0,0,0,8667427,8667427,8667427,8667427,8667427,8667427
55,França Pinto,36,São Paulo,92,Vila Mariana,112.14,0,0,0,0,0,0,10657317,10674829,10692393,10712269,10741528,10657317
56,Rodrigues Alves,36,São Paulo,92,Vila Mariana,103.55,0,0,0,0,0,0,12767099,12820483,12873808,12917368,12921374,12767099
57,Paraíso,36,São Paulo,92,Vila Mariana,96.28,0,0,0,0,0,0,16088797,16209193,16329505,16425696,16425696,16082331
58,Bosque da Saúde,36,São Paulo,79,Saúde,169.91,0,0,0,0,0,0,16749630,16749630,16749630,16749630,16749630,16749630
59,Saúde,36,São Paulo,79,Saúde,260.81,0,0,0,0,0,0,23088359,23090811,23093231,23096088,23100498,23088359
60,Planalto Paulista,36,São Paulo,79,Saúde,321.66,0,0,0,0,0,0,16226397,16234783,16243157,16251402,16258927,16226397
61,Mirandópolis,36,São Paulo,79,Saúde,173.45,0,0,0,0,0,0,15095666,15100415,15105161,15108949,15108949,15095666
62,Parque Ibirapuera,36,São Paulo,53,Moema,283.7,0,0,0,0,0,0,8335378,8450501,8593050,8730281,8905338,8331841
63,Jardim Luzitânia,36,São Paulo,53,Moema,103.07,0,0,0,0,0,0,5594151,5638306,5682801,5728391,5779197,5574059
64,Moema,36,São Paulo,53,Moema,175.13,0,0,0,0,0,0,20390373,20411658,20432964,20452531,20464905,20390373
65,Vila Helena,36,São Paulo,53,Moema,104.82,0,0,0,0,0,0,13479776,13541662,13603533,13661697,13704935,13479776
66,Bandeirantes,36,São Paulo,53,Moema,133.42,0,0,0,0,0,0,10627949,10631138,10634369,10636946,10636946,10627949
67,Vila Nova Conceição,36,São Paulo,53,Moema,112.48,0,0,0,0,0,0,8080850,8299176,8517473,8707056,8779904,8070873
